timestamp,temperature_celsius,windspeed_kph,location
2025-08-11T00:00,27.5,11.1,Peshawar
2025-08-11T01:00,26.6,12.6,Peshawar
2025-08-11T02:00,25.5,9.4,Peshawar
2025-08-11T03:00,24.8,7.6,Peshawar
2025-08-11T04:00,23.3,6.4,Peshawar
2025-08-11T05:00,22.5,7.8,Peshawar
2025-08-11T06:00,22.2,9.8,Peshawar
2025-08-11T07:00,21.6,8.2,Peshawar
2025-08-11T08:00,21.0,8.2,Peshawar
2025-08-11T09:00,20.5,8.9,Peshawar
2025-08-11T10:00,20.0,8.4,Peshawar
2025-08-11T11:00,21.1,7.1,Peshawar
2025-08-11T12:00,23.1,7.4,Peshawar
2025-08-11T13:00,25.4,8.2,Peshawar
2025-08-11T14:00,26.7,11.5,Peshawar
2025-08-11T15:00,28.3,11.2,Peshawar
2025-08-11T16:00,30.0,10.1,Peshawar
2025-08-11T17:00,31.1,11.6,Peshawar
2025-08-11T18:00,31.5,13.8,Peshawar
2025-08-11T19:00,31.4,14.7,Peshawar
2025-08-11T20:00,30.5,17.3,Peshawar
2025-08-11T21:00,29.5,16.9,Peshawar
2025-08-11T22:00,28.0,17.6,Peshawar
2025-08-11T23:00,26.2,16.6,Peshawar
2025-08-12T00:00,24.5,13.2,Peshawar
2025-08-12T01:00,23.3,12.0,Peshawar
2025-08-12T02:00,22.6,10.1,Peshawar
2025-08-12T03:00,22.0,9.3,Peshawar
2025-08-12T04:00,21.3,6.5,Peshawar
2025-08-12T05:00,20.8,6.8,Peshawar
2025-08-12T06:00,20.6,9.0,Peshawar
2025-08-12T07:00,20.3,9.2,Peshawar
2025-08-12T08:00,19.9,9.4,Peshawar
2025-08-12T09:00,19.5,7.8,Peshawar
2025-08-12T10:00,19.2,8.0,Peshawar
2025-08-12T11:00,20.3,5.8,Peshawar
2025-08-12T12:00,22.7,8.7,Peshawar
2025-08-12T13:00,24.4,9.2,Peshawar
2025-08-12T14:00,26.6,7.9,Peshawar
2025-08-12T15:00,28.9,8.2,Peshawar
2025-08-12T16:00,30.7,8.7,Peshawar
2025-08-12T17:00,31.3,13.7,Peshawar
2025-08-12T18:00,31.2,16.7,Peshawar
2025-08-12T19:00,30.5,18.0,Peshawar
2025-08-12T20:00,30.1,19.8,Peshawar
2025-08-12T21:00,28.9,20.9,Peshawar
2025-08-12T22:00,27.6,21.1,Peshawar
2025-08-12T23:00,26.7,18.7,Peshawar
2025-08-13T00:00,25.8,15.1,Peshawar
2025-08-13T01:00,27.2,18.1,Peshawar
2025-08-13T02:00,26.5,15.8,Peshawar
2025-08-13T03:00,26.0,16.1,Peshawar
2025-08-13T04:00,25.9,14.6,Peshawar
2025-08-13T05:00,26.0,12.0,Peshawar
2025-08-13T06:00,25.5,10.7,Peshawar
2025-08-13T07:00,25.2,10.7,Peshawar
2025-08-13T08:00,24.9,9.8,Peshawar
2025-08-13T09:00,24.6,10.1,Peshawar
2025-08-13T10:00,24.4,9.4,Peshawar
2025-08-13T11:00,24.6,9.7,Peshawar
2025-08-13T12:00,25.9,9.7,Peshawar
2025-08-13T13:00,27.6,10.3,Peshawar
2025-08-13T14:00,29.2,11.0,Peshawar
2025-08-13T15:00,30.2,11.6,Peshawar
2025-08-13T16:00,30.8,14.4,Peshawar
2025-08-13T17:00,30.9,18.3,Peshawar
2025-08-13T18:00,29.1,21.9,Peshawar
2025-08-13T19:00,27.6,22.8,Peshawar
2025-08-13T20:00,28.5,23.9,Peshawar
2025-08-13T21:00,29.7,19.8,Peshawar
2025-08-13T22:00,30.0,12.9,Peshawar
2025-08-13T23:00,30.0,11.7,Peshawar
2025-08-14T00:00,29.6,6.1,Peshawar
2025-08-14T01:00,26.1,18.9,Peshawar
2025-08-14T02:00,26.2,10.2,Peshawar
2025-08-14T03:00,26.3,1.5,Peshawar
2025-08-14T04:00,26.2,6.8,Peshawar
2025-08-14T05:00,25.8,6.1,Peshawar
2025-08-14T06:00,25.8,5.0,Peshawar
2025-08-14T07:00,25.6,6.6,Peshawar
2025-08-14T08:00,25.3,5.8,Peshawar
2025-08-14T09:00,25.1,5.1,Peshawar
2025-08-14T10:00,25.0,6.6,Peshawar
2025-08-14T11:00,25.0,7.1,Peshawar
2025-08-14T12:00,25.7,11.0,Peshawar
2025-08-14T13:00,27.1,12.2,Peshawar
2025-08-14T14:00,28.6,12.4,Peshawar
2025-08-14T15:00,29.8,12.1,Peshawar
2025-08-14T16:00,30.8,11.9,Peshawar
2025-08-14T17:00,31.8,12.2,Peshawar
2025-08-14T18:00,32.8,13.8,Peshawar
2025-08-14T19:00,33.4,17.4,Peshawar
2025-08-14T20:00,33.3,19.7,Peshawar
2025-08-14T21:00,32.7,21.3,Peshawar
2025-08-14T22:00,32.0,19.5,Peshawar
2025-08-14T23:00,31.2,18.8,Peshawar
2025-08-15T00:00,30.2,17.6,Peshawar
2025-08-15T01:00,29.0,17.7,Peshawar
2025-08-15T02:00,28.0,19.1,Peshawar
2025-08-15T03:00,26.9,17.8,Peshawar
2025-08-15T04:00,26.4,15.5,Peshawar
2025-08-15T05:00,25.8,13.2,Peshawar
2025-08-15T06:00,25.2,12.0,Peshawar
2025-08-15T07:00,24.7,12.3,Peshawar
2025-08-15T08:00,24.1,15.8,Peshawar
2025-08-15T09:00,23.5,16.3,Peshawar
2025-08-15T10:00,22.9,14.7,Peshawar
2025-08-15T11:00,22.6,14.4,Peshawar
2025-08-15T12:00,23.3,14.4,Peshawar
2025-08-15T13:00,24.6,12.6,Peshawar
2025-08-15T14:00,25.9,10.5,Peshawar
2025-08-15T15:00,27.4,8.7,Peshawar
2025-08-15T16:00,28.9,4.9,Peshawar
2025-08-15T17:00,29.9,5.1,Peshawar
2025-08-15T18:00,30.1,8.2,Peshawar
2025-08-15T19:00,29.9,12.5,Peshawar
2025-08-15T20:00,29.2,17.1,Peshawar
2025-08-15T21:00,28.3,19.9,Peshawar
2025-08-15T22:00,27.4,20.0,Peshawar
2025-08-15T23:00,26.4,18.8,Peshawar
2025-08-16T00:00,25.5,17.6,Peshawar
2025-08-16T01:00,25.0,16.5,Peshawar
2025-08-16T02:00,24.8,15.7,Peshawar
2025-08-16T03:00,24.5,15.1,Peshawar
2025-08-16T04:00,24.3,13.3,Peshawar
2025-08-16T05:00,24.1,10.8,Peshawar
2025-08-16T06:00,23.9,9.2,Peshawar
2025-08-16T07:00,23.7,7.6,Peshawar
2025-08-16T08:00,23.5,6.8,Peshawar
2025-08-16T09:00,23.3,6.7,Peshawar
2025-08-16T10:00,23.3,6.0,Peshawar
2025-08-16T11:00,23.4,5.3,Peshawar
2025-08-16T12:00,23.7,5.0,Peshawar
2025-08-16T13:00,24.5,6.5,Peshawar
2025-08-16T14:00,25.5,10.0,Peshawar
2025-08-16T15:00,26.3,13.1,Peshawar
2025-08-16T16:00,26.7,15.6,Peshawar
2025-08-16T17:00,26.8,17.6,Peshawar
2025-08-16T18:00,26.8,19.3,Peshawar
2025-08-16T19:00,26.6,20.5,Peshawar
2025-08-16T20:00,26.3,21.1,Peshawar
2025-08-16T21:00,25.9,21.6,Peshawar
2025-08-16T22:00,25.4,22.4,Peshawar
2025-08-16T23:00,24.9,23.2,Peshawar
2025-08-17T00:00,24.5,22.9,Peshawar
2025-08-17T01:00,24.5,20.3,Peshawar
2025-08-17T02:00,24.5,16.6,Peshawar
2025-08-17T03:00,24.5,14.1,Peshawar
2025-08-17T04:00,24.2,12.8,Peshawar
2025-08-17T05:00,23.9,11.6,Peshawar
2025-08-17T06:00,23.5,10.5,Peshawar
2025-08-17T07:00,23.3,10.0,Peshawar
2025-08-17T08:00,23.1,9.7,Peshawar
2025-08-17T09:00,23.0,10.0,Peshawar
2025-08-17T10:00,23.0,10.7,Peshawar
2025-08-17T11:00,23.1,11.5,Peshawar
2025-08-17T12:00,23.6,11.8,Peshawar
2025-08-17T13:00,25.0,11.5,Peshawar
2025-08-17T14:00,26.8,11.0,Peshawar
2025-08-17T15:00,28.1,10.6,Peshawar
2025-08-17T16:00,28.7,12.3,Peshawar
2025-08-17T17:00,28.9,16.5,Peshawar
2025-08-17T18:00,28.8,20.7,Peshawar
2025-08-17T19:00,28.6,23.2,Peshawar
2025-08-17T20:00,28.1,25.0,Peshawar
2025-08-17T21:00,27.6,25.8,Peshawar
2025-08-17T22:00,27.3,25.5,Peshawar
2025-08-17T23:00,27.0,24.1,Peshawar
